station_name_x,lon_x,lat_x,company_name_r_x,station_name_y,lon_y,lat_y,company_name_r_y,type,service,distance,seat
桶川,139.564274,35.998375,JR東日本,大宮,139.62405,35.906439,JR東日本,ＪＲ,快速,11.8,指定席
大宮,139.62405,35.906439,JR東日本,新宿,139.700464,35.689729,JR東日本,ＪＲ,普通,27.4,グリーン車
新宿,139.700464,35.689729,JR東日本,立川,139.413704,35.698202,JR東日本,ＪＲ,特急,27.2,グリーン車
立川,139.413704,35.698202,JR東日本,新宿,139.700464,35.689729,JR東日本,ＪＲ,特急,27.2,指定席
新宿,139.700464,35.689729,JR東日本,東京,139.766103,35.681391,JR東日本,ＪＲ,特急,10.3,グリーン車
東京,139.766103,35.681391,JR東日本,横浜,139.622704,35.466195,JR東日本,ＪＲ,特急,28.8,グリーン車
横浜,139.622704,35.466195,JR東日本,東京,139.766103,35.681391,JR東日本,ＪＲ,特急,28.8,グリーン車
東京,139.766103,35.681391,JR東日本,上野,139.777043,35.71379,JR東日本,ＪＲ,普通,3.6,グリーン車
上野,139.777043,35.71379,JR東日本,東京,139.766103,35.681391,JR東日本,ＪＲ,普通,3.6,自由席
東京,139.766103,35.681391,JR東日本,成田空港（第１旅客ターミナル）,140.384644,35.763983,JR東日本,ＪＲ,特急,79.2,グリーン車
成田空港（第１旅客ターミナル）,140.384644,35.763983,京成,日暮里,139.771287,35.727908,京成,私鉄,特急,62,指定席
日暮里,139.771287,35.727908,JR東日本,東京,139.766103,35.681391,JR東日本,ＪＲ,普通,5.8,自由席
東京,139.766103,35.681391,JR東日本,新木場,139.827402,35.646172,JR東日本,ＪＲ,普通,7.4,自由席
新木場,139.827402,35.646172,東京臨海高速鉄道,国際展示場,139.791617,35.63441,東京臨海高速鉄道,私鉄,普通,3.5,自由席
国際展示場,139.791617,35.63441,東京臨海高速鉄道,池袋,139.711086,35.730256,JR東日本,ＪＲ,快速,22.1,自由席
池袋,139.710678,35.730924,東武,大山,139.702589,35.748398,東武,私鉄,普通,3,自由席
